IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
PIOTR,MĘŻCZYZNA,682516
KRZYSZTOF,MĘŻCZYZNA,631898
TOMASZ,MĘŻCZYZNA,533217
ANDRZEJ,MĘŻCZYZNA,513749
PAWEŁ,MĘŻCZYZNA,502076
MICHAŁ,MĘŻCZYZNA,492326
JAN,MĘŻCZYZNA,462503
MARCIN,MĘŻCZYZNA,447274
JAKUB,MĘŻCZYZNA,433692
ADAM,MĘŻCZYZNA,400572
ŁUKASZ,MĘŻCZYZNA,382274
MATEUSZ,MĘŻCZYZNA,377592
GRZEGORZ,MĘŻCZYZNA,369675
MAREK,MĘŻCZYZNA,369240
STANISŁAW,MĘŻCZYZNA,348827
WOJCIECH,MĘŻCZYZNA,335544
MARIUSZ,MĘŻCZYZNA,283705
DARIUSZ,MĘŻCZYZNA,279482
MACIEJ,MĘŻCZYZNA,267055
RAFAŁ,MĘŻCZYZNA,260326
ROBERT,MĘŻCZYZNA,256984
KAMIL,MĘŻCZYZNA,251233
ZBIGNIEW,MĘŻCZYZNA,249852
SZYMON,MĘŻCZYZNA,244928
DAWID,MĘŻCZYZNA,239942
KACPER,MĘŻCZYZNA,232125
JACEK,MĘŻCZYZNA,227193
JERZY,MĘŻCZYZNA,222479
BARTOSZ,MĘŻCZYZNA,205155
ARTUR,MĘŻCZYZNA,198335
RYSZARD,MĘŻCZYZNA,189300
JÓZEF,MĘŻCZYZNA,188007
JAROSŁAW,MĘŻCZYZNA,187945
TADEUSZ,MĘŻCZYZNA,186094
SEBASTIAN,MĘŻCZYZNA,186060
DAMIAN,MĘŻCZYZNA,183835
SŁAWOMIR,MĘŻCZYZNA,180911
PATRYK,MĘŻCZYZNA,180227
ANTONI,MĘŻCZYZNA,176680
FILIP,MĘŻCZYZNA,176647
ROMAN,MĘŻCZYZNA,174380
MIROSŁAW,MĘŻCZYZNA,173239
JANUSZ,MĘŻCZYZNA,173146
DANIEL,MĘŻCZYZNA,171875
KAROL,MĘŻCZYZNA,165804
PRZEMYSŁAW,MĘŻCZYZNA,165034
ALEKSANDER,MĘŻCZYZNA,162886
HENRYK,MĘŻCZYZNA,150311
ADRIAN,MĘŻCZYZNA,149545
MIKOŁAJ,MĘŻCZYZNA,141540
FRANCISZEK,MĘŻCZYZNA,140919
DOMINIK,MĘŻCZYZNA,136511
KAZIMIERZ,MĘŻCZYZNA,132529
ARKADIUSZ,MĘŻCZYZNA,132300
WIESŁAW,MĘŻCZYZNA,130136
BARTŁOMIEJ,MĘŻCZYZNA,126070
OLEKSANDR,MĘŻCZYZNA,125101
MARIAN,MĘŻCZYZNA,119087
WIKTOR,MĘŻCZYZNA,117927
KRYSTIAN,MĘŻCZYZNA,111177
LESZEK,MĘŻCZYZNA,108443
RADOSŁAW,MĘŻCZYZNA,103469
WALDEMAR,MĘŻCZYZNA,102455
IGOR,MĘŻCZYZNA,96334
HUBERT,MĘŻCZYZNA,90837
BOGDAN,MĘŻCZYZNA,90620
KONRAD,MĘŻCZYZNA,90371
ZDZISŁAW,MĘŻCZYZNA,85323
MARCEL,MĘŻCZYZNA,82940
OSKAR,MĘŻCZYZNA,80957
NIKODEM,MĘŻCZYZNA,77519
ANDRII,MĘŻCZYZNA,76997
SERHII,MĘŻCZYZNA,75368
MAKSYMILIAN,MĘŻCZYZNA,75322
EDWARD,MĘŻCZYZNA,72934
MIECZYSŁAW,MĘŻCZYZNA,69281
LEON,MĘŻCZYZNA,68916
MIŁOSZ,MĘŻCZYZNA,68195
VOLODYMYR,MĘŻCZYZNA,68005
DMYTRO,MĘŻCZYZNA,64716
WŁADYSŁAW,MĘŻCZYZNA,64365
OLIWIER,MĘŻCZYZNA,62181
IVAN,MĘŻCZYZNA,59847
CZESŁAW,MĘŻCZYZNA,59053
IRENEUSZ,MĘŻCZYZNA,57371
BOGUSŁAW,MĘŻCZYZNA,56772
MAKSYM,MĘŻCZYZNA,56024
EUGENIUSZ,MĘŻCZYZNA,55466
WITOLD,MĘŻCZYZNA,54261
ALAN,MĘŻCZYZNA,53215
IGNACY,MĘŻCZYZNA,52801
SYLWESTER,MĘŻCZYZNA,52342
STEFAN,MĘŻCZYZNA,52091
CEZARY,MĘŻCZYZNA,48176
GABRIEL,MĘŻCZYZNA,47622
ZYGMUNT,MĘŻCZYZNA,46240
MYKOLA,MĘŻCZYZNA,45767
JULIAN,MĘŻCZYZNA,45069
TYMON,MĘŻCZYZNA,43886
WŁODZIMIERZ,MĘŻCZYZNA,43304
VITALII,MĘŻCZYZNA,41837
TYMOTEUSZ,MĘŻCZYZNA,40741
VLADYSLAV,MĘŻCZYZNA,39812
YURII,MĘŻCZYZNA,39694
NORBERT,MĘŻCZYZNA,39260
MYKHAILO,MĘŻCZYZNA,39187
ZENON,MĘŻCZYZNA,38796
IHOR,MĘŻCZYZNA,38628
VASYL,MĘŻCZYZNA,38264
ARTEM,MĘŻCZYZNA,37563
FABIAN,MĘŻCZYZNA,36577
OLEH,MĘŻCZYZNA,35360
BŁAŻEJ,MĘŻCZYZNA,33134
BOHDAN,MĘŻCZYZNA,31873
VIKTOR,MĘŻCZYZNA,31027
ERYK,MĘŻCZYZNA,30264
EMIL,MĘŻCZYZNA,29681
OLEKSII,MĘŻCZYZNA,27444
DENYS,MĘŻCZYZNA,27077
NATAN,MĘŻCZYZNA,24924
RUSLAN,MĘŻCZYZNA,23382
KSAWERY,MĘŻCZYZNA,23269
BORYS,MĘŻCZYZNA,21899
LECH,MĘŻCZYZNA,21602
YAROSLAV,MĘŻCZYZNA,21545
