IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
ANNA,KOBIETA,1063756
KATARZYNA,KOBIETA,602474
MAŁGORZATA,KOBIETA,572067
MARIA,KOBIETA,566902
AGNIESZKA,KOBIETA,544968
EWA,KOBIETA,469822
BARBARA,KOBIETA,467697
MAGDALENA,KOBIETA,434117
ELŻBIETA,KOBIETA,404679
JOANNA,KOBIETA,401861
ALEKSANDRA,KOBIETA,390147
KRYSTYNA,KOBIETA,383140
MONIKA,KOBIETA,376767
ZOFIA,KOBIETA,360466
NATALIA,KOBIETA,320219
JULIA,KOBIETA,314539
TERESA,KOBIETA,312053
KAROLINA,KOBIETA,295011
MARTA,KOBIETA,289122
DANUTA,KOBIETA,286032
BEATA,KOBIETA,278457
DOROTA,KOBIETA,266291
ALICJA,KOBIETA,254745
JOLANTA,KOBIETA,233614
HANNA,KOBIETA,231647
ZUZANNA,KOBIETA,231506
IWONA,KOBIETA,230870
HALINA,KOBIETA,226656
PAULINA,KOBIETA,224208
GRAŻYNA,KOBIETA,223100
JADWIGA,KOBIETA,218462
JUSTYNA,KOBIETA,216299
WIKTORIA,KOBIETA,209093
JANINA,KOBIETA,198471
IRENA,KOBIETA,196353
BOŻENA,KOBIETA,194754
MAJA,KOBIETA,188657
RENATA,KOBIETA,185837
AGATA,KOBIETA,184481
SYLWIA,KOBIETA,181946
URSZULA,KOBIETA,180127
PATRYCJA,KOBIETA,169495
OLIWIA,KOBIETA,166399
EMILIA,KOBIETA,165157
IZABELA,KOBIETA,159119
HELENA,KOBIETA,155762
WERONIKA,KOBIETA,151660
ANETA,KOBIETA,151255
EWELINA,KOBIETA,148020
MARTYNA,KOBIETA,143235
KLAUDIA,KOBIETA,139055
GABRIELA,KOBIETA,137274
LENA,KOBIETA,134384
AMELIA,KOBIETA,129834
MARZENA,KOBIETA,128745
DOMINIKA,KOBIETA,123333
KINGA,KOBIETA,121584
EDYTA,KOBIETA,113456
KAMILA,KOBIETA,111676
MARIANNA,KOBIETA,106305
ALINA,KOBIETA,104157
WIESŁAWA,KOBIETA,100971
STANISŁAWA,KOBIETA,100184
TETIANA,KOBIETA,95030
DARIA,KOBIETA,89850
NATALIIA,KOBIETA,89800
WANDA,KOBIETA,88112
OLENA,KOBIETA,85143
LAURA,KOBIETA,82455
IRYNA,KOBIETA,82258
LIDIA,KOBIETA,81723
MARIOLA,KOBIETA,81131
NIKOLA,KOBIETA,79041
MILENA,KOBIETA,78513
LUCYNA,KOBIETA,77658
ANTONINA,KOBIETA,73894
WIOLETTA,KOBIETA,72214
OLHA,KOBIETA,67648
MIROSŁAWA,KOBIETA,67643
OKSANA,KOBIETA,65217
ANGELIKA,KOBIETA,64883
MARIIA,KOBIETA,64291
SVITLANA,KOBIETA,61749
OLGA,KOBIETA,61483
MICHALINA,KOBIETA,60713
ANASTASIIA,KOBIETA,60583
YULIIA,KOBIETA,59533
VIKTORIIA,KOBIETA,59146
NADIA,KOBIETA,55625
ILONA,KOBIETA,55357
SANDRA,KOBIETA,54774
KORNELIA,KOBIETA,54205
POLA,KOBIETA,53478
BOGUMIŁA,KOBIETA,52928
LILIANA,KOBIETA,52509
IGA,KOBIETA,51511
KATERYNA,KOBIETA,50822
ŁUCJA,KOBIETA,50643
NINA,KOBIETA,50358
MARCELINA,KOBIETA,50255
KAZIMIERA,KOBIETA,49361
MARLENA,KOBIETA,48612
ANITA,KOBIETA,45972
BOGUSŁAWA,KOBIETA,45946
SABINA,KOBIETA,45672
JAGODA,KOBIETA,45493
LIUDMYLA,KOBIETA,44994
GENOWEFA,KOBIETA,43627
HENRYKA,KOBIETA,42996
REGINA,KOBIETA,39499
JÓZEFA,KOBIETA,39367
STEFANIA,KOBIETA,39291
ANIELA,KOBIETA,38898
DIANA,KOBIETA,38385
KARINA,KOBIETA,37856
ADRIANNA,KOBIETA,35484
HALYNA,KOBIETA,34837
CZESŁAWA,KOBIETA,34388
SARA,KOBIETA,34339
WIOLETA,KOBIETA,34244
KLARA,KOBIETA,32842
SOFIIA,KOBIETA,32776
WŁADYSŁAWA,KOBIETA,32513
ROKSANA,KOBIETA,32148
MARYNA,KOBIETA,31841
DAGMARA,KOBIETA,31830
MALWINA,KOBIETA,30966
VALENTYNA,KOBIETA,30557
ELIZA,KOBIETA,29641
NADIIA,KOBIETA,29079
BLANKA,KOBIETA,28489
KAJA,KOBIETA,28471
RÓŻA,KOBIETA,27758
ŻANETA,KOBIETA,27030
ANASTAZJA,KOBIETA,26005
OLEKSANDRA,KOBIETA,25802
CECYLIA,KOBIETA,24431
ZDZISŁAWA,KOBIETA,23939
ROZALIA,KOBIETA,23505
LILIANNA,KOBIETA,23491
INNA,KOBIETA,22554
BERNADETA,KOBIETA,22382
JULITA,KOBIETA,21916
LIUBOV,KOBIETA,21350
LEOKADIA,KOBIETA,21060
YANA,KOBIETA,20948
NELA,KOBIETA,20804
VIOLETTA,KOBIETA,20692
ALDONA,KOBIETA,20683
MATYLDA,KOBIETA,19259
EUGENIA,KOBIETA,18840
VERONIKA,KOBIETA,18839
BRONISŁAWA,KOBIETA,18693
MAGDA,KOBIETA,18399
DANIELA,KOBIETA,18238
LARYSA,KOBIETA,18008
VALERIIA,KOBIETA,17574
AURELIA,KOBIETA,17536
CELINA,KOBIETA,17524
ADRIANA,KOBIETA,16635
ALLA,KOBIETA,16198
PAULA,KOBIETA,15837
HONORATA,KOBIETA,15459
KALINA,KOBIETA,15051
LILIIA,KOBIETA,15008
OLIVIA,KOBIETA,14478
IZABELLA,KOBIETA,14477
MIA,KOBIETA,14178
BRYGIDA,KOBIETA,13969
ALONA,KOBIETA,13912
MARIKA,KOBIETA,13735
YELYZAVETA,KOBIETA,13721
TAMARA,KOBIETA,13586
POLINA,KOBIETA,13533
SONIA,KOBIETA,13150
KHRYSTYNA,KOBIETA,12668
ELWIRA,KOBIETA,12430
MARZANNA,KOBIETA,12207
ANDŻELIKA,KOBIETA,11818
BOŻENNA,KOBIETA,11766
MIECZYSŁAWA,KOBIETA,11724
LUIZA,KOBIETA,11721
IVANNA,KOBIETA,11678
TATIANA,KOBIETA,11548
MARIANA,KOBIETA,11374
VICTORIA,KOBIETA,11356
GERTRUDA,KOBIETA,11284
ARLETA,KOBIETA,11181
LIWIA,KOBIETA,11050
VIRA,KOBIETA,10280
NICOLE,KOBIETA,10226
YEVHENIIA,KOBIETA,10184
ANHELINA,KOBIETA,10099
JUDYTA,KOBIETA,9905
DARYNA,KOBIETA,9476
ADELA,KOBIETA,9322
NICOLA,KOBIETA,9264
ELENA,KOBIETA,9179
MELANIA,KOBIETA,9084
NATASZA,KOBIETA,9060
VANESSA,KOBIETA,8959
JOWITA,KOBIETA,8866
MARHARYTA,KOBIETA,8624
MILANA,KOBIETA,8562
APOLONIA,KOBIETA,8546
LESIA,KOBIETA,8528
SOFIA,KOBIETA,8475
BIANKA,KOBIETA,8381
